Entity,Code,Year,Transport (tonnes),Forestry (tonnes),Energy (tonnes),Other sources (tonnes),"Agriculture, Land Use & Forestry (tonnes)",Waste (tonnes),Residential & commercial (tonnes),Industry (tonnes),Agriculture (tonnes)
Afghanistan,AFG,1990,607277,0,277412.2,0,0,0,918414.8,118810.1,0
Afghanistan,AFG,1991,531458.8,0,270127.8,0,0,0,690875.1,129749.1,0
Afghanistan,AFG,1992,376129.39999999997,0,154580.4,0,0,0,373454.60000000003,141625.6,0
Afghanistan,AFG,1993,323714.1,0,151712.6,0,0,0,325806.2,124728,0
Afghanistan,AFG,1994,310399.80000000005,0,146342.6,0,0,0,265081.3,147071.59999999998,0
Afghanistan,AFG,1995,310717.6,0,119581.59999999999,0,0,0,275202.1,148731.69999999998,0
Afghanistan,AFG,1996,305052.7,0,111997.1,0,0,0,211782.1,148385.1,0
Afghanistan,AFG,1997,304459.4,0,95476.5,0,0,0,235946.5,147517.8,0
Afghanistan,AFG,1998,291362.9,0,91688.2,0,0,0,217061.3,145077.40000000002,0
Afghanistan,AFG,1999,280793.8,0,101863.6,0,0,0,245846.5,144272.4,0
Afghanistan,AFG,2000,269170,0,96700,0,0,0,182000,147590,0
Afghanistan,AFG,2001,260880,0,101100,0,0,0,93200,128380,0
Afghanistan,AFG,2002,250000,0,87600,0,0,0,30100,134490,0
Afghanistan,AFG,2003,199590,0,74200,0,0,0,22500,140310,0
Afghanistan,AFG,2004,229590,0,82000,0,0,0,17000,144240,0
Afghanistan,AFG,2005,234960,0,84000,0,0,0,54200,146960,0
Afghanistan,AFG,2006,204150,0,74200,0,0,0,51200,142280,0
Afghanistan,AFG,2007,196530,0,70200,0,0,0,94300,146100,0
Afghanistan,AFG,2008,195140,0,70300,0,0,0,103000,148220,0
Afghanistan,AFG,2009,182080,0,65700,0,0,0,120000,150840,0
Afghanistan,AFG,2010,169140,0,61000,0,0,0,136000,157760,0
Africa,,1990,107023936.9,-33893027.1,460225537.3,0,1628185000,0,62695366.800000004,39595422.9,0
Africa,,1991,110310159.5,-33905420.400000006,462863381.70000005,0,1628185000,0,65215194.5,41314188.300000004,0
Africa,,1992,116504653.5,-33911191.8,481372003.8,0,1628185000,0,66965499.599999994,41246407.5,0
Africa,,1993,116157776.19999999,-32333808.2,473999256.6,0,1628185000,0,72012827.60000001,40958524.4,0
Africa,,1994,118042609,-32306920.6,465786620.9,0,1628185000,0,72998821.3,41082950,0
Africa,,1995,123798859.80000001,-32270541.099999998,492819959.7,0,1628185000,0,74558060.3,42480979.3,0
Africa,,1996,127815636.7,-32223606.8,520751906.59999996,0,1665852000,0,73908444.8,47817744.7,0
Africa,,1997,131117377.79999998,-32164921.6,533421941.49999994,0,1633176000,0,74883044.2,50610725.6,0
Africa,,1998,138694369.70000002,-32093135.3,545006535.3,0,1673905000,0,74216696.1,50168366.9,0
Africa,,1999,145422330.9,-32006717.9,530513200.3,0,1618501000,0,76419421.9,52022775.800000004,0
Africa,,2000,149613021.29999998,-31903928.3,549756222.8,0,1630286000,0,76431500,53462793.3,0
Africa,,2001,153864254.7,-27395311.099999998,532609622.3000001,0,1508925000,0,85210200,56464291.8,0
Africa,,2002,159524226.5,-27767667.6,543979499.9000001,0,1607162000,0,89303000,59262835.9,0
Africa,,2003,167388710.7,-28195339.1,583278481.8,0,1531154000,0,92709300,60047982.1,0
Africa,,2004,178047214.70000002,-28684525.6,606566136.1999999,0,1577914000,0,98738970,64124238.7,0
Africa,,2005,185352012.5,-29242318.3,620243778.5999999,0,1626267000,0,107128300,66612392.900000006,0
Africa,,2006,189331416.20000002,-146442441.8,622925973.2,0,1468285000,0,111235940,71628199.8,0
Africa,,2007,200003375,-147126035.5,631022681.4,0,1470595000,0,113118700,73387566,0
Africa,,2008,212311478.29999998,-147842744.29999998,623545581.6999999,0,1485220000,0,120535600,74798258.4,0
Africa,,2009,232125535.6,-148596173.9,594970572.8,0,1498577000,0,113433600,75303931.4,0
Africa,,2010,213526420,-149390541,614781953.9,0,1456496000,0,104107900,82162353.3,0
Albania,ALB,1990,718568.4,-481445,2924790.9,0,121000,1244.1,2102810.1,531553.4,0
Albania,ALB,1991,541824.6,-482635.2,2008902.3,0,121000,1136.1000000000001,1330299.9,343632.3,0
Albania,ALB,1992,416852.39999999997,-483831.3,1156076.9,0,121000,1132.4,579624.8,162280,0
Albania,ALB,1993,516002.2,-485033.3,1072319.4000000001,0,121000,1197.2,394687.3,177360.80000000002,0
Albania,ALB,1994,643735.5,-486241.4,1138957.5,0,121000,1263.9,335422,199257.5,0
Albania,ALB,1995,634726.8,-487455.4,891362.3,0,121000,1333.1,330249.1,196164.19999999998,0
Albania,ALB,1996,630823.8,-488675.5,783001,0,121000,1408.6000000000001,463908.3,180410.9,0
Albania,ALB,1997,498070.7,-489901.8,561377.6,0,121000,1386.6000000000001,380715.10000000003,148464.2,0
Albania,ALB,1998,750803.2,-491134.2,637974,0,121000,1485.9,300051.69999999995,120896.3,0
Albania,ALB,1999,1422685.0999999999,-492372.8,768953.1,0,121000,1580.2,810869.7,144911.1,0
Albania,ALB,2000,1487000,-493617.7,812088,0,121000,1670,835000,125580,0
Albania,ALB,2001,1567000,733333.3,853173,0,890000,1760,881000,189920,0
Albania,ALB,2002,1788100,733333.3,792276,0,889000,1830,1270000,260510,0
Albania,ALB,2003,1949300,733333.3,776331,0,891000,1920,1210000,344140,0
Albania,ALB,2004,1820000,733333.3,739840,0,889000,2020,881000,358290,0
Albania,ALB,2005,2384000,733333.3,824110,0,889000,2120,1170000,308640,0
Albania,ALB,2006,1930000,-642819.5,1027250,0,-210000,2180,1040000,344790,0
Albania,ALB,2007,2124800,-643823.4,888410,0,-198000,2250,879000,499350,0
Albania,ALB,2008,2344000,-644830.5,820450,0,-209000,2320,649000,509910,0
Albania,ALB,2009,2376500,-645840.7,717060,0,-211000,2390,597000,488860,0
Albania,ALB,2010,2393200,-646854.1,865980,0,-211000,2460,668000,534510,0
Algeria,DZA,1990,11901658.600000001,-37651.299999999996,42686709.4,0,880000,0,10880928.299999999,4024615,0
Algeria,DZA,1991,12654625.6,-37216.6,44890519.2,0,880000,0,12234357.799999999,4038259.7,0
Algeria,DZA,1992,12758692.5,-36777.2,49831837.6,0,880000,0,12327017.299999999,4687650.2,0
Algeria,DZA,1993,13166005.6,-36333.2,50213751.199999996,0,880000,0,12580553.700000001,4473420.3,0
Algeria,DZA,1994,12140610.9,-35884.4,49839422.7,0,880000,0,12125971.2,3819867.1,0
Algeria,DZA,1995,11918589.299999999,-35430.799999999996,53013376.1,0,880000,0,11739706.399999999,3764545.4,0
Algeria,DZA,1996,12201157.7,-34972.299999999996,51762781.300000004,0,880000,0,11520128.4,3938530.6,0
Algeria,DZA,1997,12562078,-34508.7,50278716.4,0,880000,0,10840759.1,4522399.5,0
Algeria,DZA,1998,12385508.9,-34040.100000000006,49427487.6,0,880000,0,12371994.7,4557925.4,0
Algeria,DZA,1999,12863171.6,-33566.299999999996,50805254.1,0,880000,0,13101951.1,4852517.7,0
Algeria,DZA,2000,13530000,-33087.299999999996,51083000,0,880000,0,12800000,5187510,0
Algeria,DZA,2001,13380000,-727806.6,49595000,0,513000,0,13300000,5143920,0
Algeria,DZA,2002,13400000,-730157.9,50401000,0,513000,0,14200000,5606440,0
Algeria,DZA,2003,14868000,-732535.1000000001,53213000,0,513000,0,15200000,5554960,0
Algeria,DZA,2004,15448000,-734938.6,50252000,0,513000,0,17200000,6318280,0
Algeria,DZA,2005,15980000,-737368.9,51467000,0,513000,0,19000000,7050910,0
Algeria,DZA,2006,16440000,-6746666.7,54970000,0,-6747000,0,19400000,7610430,0
Algeria,DZA,2007,18730000,-6746666.7,53999000,0,-6747000,0,21200000,8159250,0
Algeria,DZA,2008,20010000,-6746666.7,55679000,0,-6747000,0,22100000,8589480,0
Algeria,DZA,2009,33260000,-6746666.7,56987000,0,-6747000,0,13500000,8818300,0
Algeria,DZA,2010,33530000,-6746666.7,57519000,0,-6747000,0,13200000,10070820,0
American Samoa,ASM,1990,,-5.8,0,0,14000,0,0,10631.4,0
American Samoa,ASM,1991,,-5.8,0,0,14000,0,0,10935.2,0
American Samoa,ASM,1992,,-5.8,0,0,14000,0,0,11219.5,0
American Samoa,ASM,1993,,-5.8999999999999995,0,0,14000,0,0,11485.2,0
American Samoa,ASM,1994,,-5.8999999999999995,0,0,14000,0,0,11732.4,0
American Samoa,ASM,1995,,-5.8999999999999995,0,0,14000,0,0,11964.9,0
American Samoa,ASM,1996,,-5.8999999999999995,0,0,14000,0,0,12179.6,0
American Samoa,ASM,1997,,-5.8999999999999995,0,0,14000,0,0,12379,0
American Samoa,ASM,1998,,-5.8999999999999995,0,0,14000,0,0,12577.6,0
American Samoa,ASM,1999,,-5.8999999999999995,0,0,14000,0,0,12793.8,0
American Samoa,ASM,2000,0,-5.8999999999999995,0,0,14000,0,0,13075.900000000001,0
American Samoa,ASM,2001,0,-5.8999999999999995,0,0,14000,0,0,13279.5,0
American Samoa,ASM,2002,0,-6,0,0,14000,0,0,13683.199999999999,0
American Samoa,ASM,2003,0,-6,0,0,14000,0,0,13988.099999999999,0
American Samoa,ASM,2004,0,-6,0,0,14000,0,0,14293,0
American Samoa,ASM,2005,0,-6,0,0,14000,0,0,14596.8,0
American Samoa,ASM,2006,0,-6,0,0,14000,0,0,15001.699999999999,0
American Samoa,ASM,2007,0,-6,0,0,14000,0,0,15305.5,0
American Samoa,ASM,2008,0,-6,0,0,14000,0,0,15610.300000000001,0
American Samoa,ASM,2009,0,-6,0,0,14000,0,0,16015.2,0
American Samoa,ASM,2010,0,-6.1000000000000005,0,0,14000,0,0,16319.099999999999,0
Americas,,1990,1846284088.5,-1055502901.3000001,3498697882.9,4730000,1221013000,394778.1,811687230.6999999,261732556.1,0
Americas,,1991,1828784581.1000001,-1057795568.5,3490733551.2000003,4730000,1221013000,396864.6,817052444.2,260491618.1,0
Americas,,1992,1871173225,-1060108468.8,3561278047.9,4730000,1221013000,397867.39999999997,816585546,265954247.4,0
Americas,,1993,1912170330.3,-1062442033.4999999,3649742285.6,4730000,1221013000,401528.5,842341424.9,269305033.5,0
Americas,,1994,1983212084,-1064796706.9000001,3710108647.9,4730000,1221013000,405809.3,841079530.5,280527208.4,0
Americas,,1995,2035463668.2,-1067172946.4,3693452807.7,4730000,1221013000,409236.4,847160129.1,285519108.40000004,0
Americas,,1996,2093700899.1000001,-1069571223.9999999,3840862112.4,4730000,1198622000,411903,895251910.7,292741566.79999995,0
Americas,,1997,2136366393.9,-1071992026.4999999,4022934084.3,4730000,1175410000,415002.5,876450987.1,300322614.3,0
Americas,,1998,2195469677.4,-1074435856.8,4171792192.5,4730000,1256335000,416028.39999999997,811363372,305132581.1,0
Americas,,1999,2240890273.3,-1076903234.6999998,4142397851.2,4730000,1219667000,417442.60000000003,833914089.2,309758177,0
Americas,,2000,2284731708.3,-1079394698.2,4259919077.7000003,4730000,1177125000,420741.69999999995,874827837,309060030.4,0
Americas,,2001,2285098124.7,-798968124.5,4173957312.8,4730000,1575299000,422023.9,856472002,288121838.8,0
Americas,,2002,2340151627.2,-800661588.9,4189630946.5,4730000,1625891000,424335.39999999997,858478547,295225805.79999995,0
Americas,,2003,2365688724.8,-802380688.6,4218004479.1,4730000,1649636000,425448.2,880116485,291376077,0
Americas,,2004,2411595451.5,-804126051.8000001,4286001327.4999995,4730000,1654563000,428707.7,879774059,308238866.90000004,0
Americas,,2005,2442954001.4,-805898328.5,4321943257.8,4730000,1640413000,431213.1,859134602,310276424,0
Americas,,2006,2458339236.7,-953571099.1,4292742138.6000004,4730000,1017186000,428324.5,806189199,319768272.9,0
Americas,,2007,2480715157.5,-955207937.4000001,4401325569.2,4730000,1074927000,427648.8,840229530,328227169.79999995,0
Americas,,2008,2383300290.9,-956870490.1,4341108030.1,4730000,999826000,426873,848014810,319549486.8,0
Americas,,2009,2307682510.5,-958559506.9000001,4008388540.9,4730000,998244000,425095.1,824489040,285569745.9,0
Americas,,2010,2354170033.5,-960275773.2,4246217401.8,4730000,1020875000,424319,820724760,304702595.8,0
Angola,AGO,1990,1016810.5,147864.9,9173520.7,0,83384000,0,661675.4,165878.80000000002,0
Angola,AGO,1991,1255872.5999999999,148167.6,9101825.7,0,83384000,0,687495.2,169839,0
Angola,AGO,1992,1188087.2,148471.5,9216331.899999999,0,83384000,0,617475.2999999999,195163.6,0
Angola,AGO,1993,1211474.9,148776.6,9564534.4,0,83384000,0,515511.39999999997,139834.4,0
Angola,AGO,1994,1540101.5,149083,8449631.1,0,83384000,0,633540.7000000001,162323.7,0
Angola,AGO,1995,1069100.6,149390.6,10250864.600000001,0,83384000,0,667165.8,161803.9,0
Angola,AGO,1996,989519.5,149699.5,12573139.3,0,81980000,0,911799.2000000001,148235.09999999998,0
Angola,AGO,1997,1051507.4,150009.7,13155783.9,0,79158000,0,910303.9,161837.1,0
Angola,AGO,1998,835374.5,150321.2,13752200.9,0,83774000,0,1011832,182833,0
Angola,AGO,1999,1156976.7999999998,150634,14073405.5,0,79218000,0,1255776.7,182450.7,0
Angola,AGO,2000,1070000,150948.1,13210000,0,82397000,0,1050000,182180,0
Angola,AGO,2001,1200000,151263.5,12695000,0,71491000,0,1170000,267670,0
Angola,AGO,2002,1480000,151580.19999999998,12171000,0,84023000,0,1200000,285530,0
Angola,AGO,2003,3178000,151898.30000000002,11790000,0,86993000,0,1180000,328440,0
Angola,AGO,2004,2970000,152217.7,12879000,0,93722000,0,1230000,349360,0
Angola,AGO,2005,2328000,152538.4,12038000,0,94768000,0,936000,581390,0
Angola,AGO,2006,3028000,152860.5,10377000,0,75215000,0,1830000,599320,0
Angola,AGO,2007,3982000,153183.9,9955000,0,91412000,0,1940000,604260,0
Angola,AGO,2008,3634000,153508.80000000002,9731000,0,77597000,0,2340000,598290,0
Angola,AGO,2009,4264000,153835,9661000,0,77734000,0,2760000,599210,0
Angola,AGO,2010,5787000,154162.6,9181000,0,81041000,0,3000000,655180,0
Anguilla,AIA,1990,,-15504.2,0,0,-16000,0,0,0,0
Anguilla,AIA,1991,,-15504.2,0,0,-16000,0,0,0,0
Anguilla,AIA,1992,,-15504.2,0,0,-16000,0,0,0,0
Anguilla,AIA,1993,,-15504.2,0,0,-16000,0,0,0,0
Anguilla,AIA,1994,,-15504.2,0,0,-16000,0,0,0,0
Anguilla,AIA,1995,,-15504.2,0,0,-16000,0,0,0,0
Anguilla,AIA,1996,,-15504.2,0,0,-16000,0,0,0,0
Anguilla,AIA,1997,,-15504.2,0,0,-16000,0,0,0,0
Anguilla,AIA,1998,,-15504.2,0,0,-16000,0,0,0,0
Anguilla,AIA,1999,,-15504.2,0,0,-16000,0,0,0,0
Anguilla,AIA,2000,0,-15504.2,0,0,-16000,0,0,0,0
Anguilla,AIA,2001,0,-10326.1,0,0,-10000,0,0,0,0
Anguilla,AIA,2002,0,-10326.1,0,0,-10000,0,0,0,0
Anguilla,AIA,2003,0,-10326.1,0,0,-10000,0,0,0,0
Anguilla,AIA,2004,0,-10326.1,0,0,-10000,0,0,0,0
Anguilla,AIA,2005,0,-10326.1,0,0,-10000,0,0,0,0
Anguilla,AIA,2006,0,52439.700000000004,0,0,52000,0,0,0,0
Anguilla,AIA,2007,0,52439.700000000004,0,0,52000,0,0,0,0
Anguilla,AIA,2008,0,52439.700000000004,0,0,52000,0,0,0,0
Anguilla,AIA,2009,0,52439.700000000004,0,0,52000,0,0,0,0
Anguilla,AIA,2010,0,52439.700000000004,0,0,52000,0,0,0,0
